predator,InfoSource,Reference
s__Sardinella_zunasi,books,"庄平; 张光华; 王江涛. 长江口鱼类. 上海科学技术出版社: 上海, 2006; pp 326–328.?"
s__Megalobrama_terminalis,books,"庄平; 张光华; 王江涛. 长江口鱼类. 上海科学技术出版社: 上海, 2006; pp 326–328.?"
s__Spinibarbus_sinensis,books,"朱思华; 周裕和; 张光华, 编著. 养鱼必读; 湖北科学技术出版社: 武汉, 2006; p 57."
s__Micropterus_salmoides,articles,"周志诚. 河蟹与鲈鱼套养模式试验. 渔业致富指南 2020, (22), 12."
s__Schizothorax_waltoni,articles,"周贤君. 拉萨裂腹鱼个体生物学和种群动态研究. 华中农业大学: 武汉, 2014."
s__Opsariichthys_uncirostris,books,"周乔, 主编. 内陆水域增养殖; 中国农业出版社: 北京, 2002."
s__Rhodeus_sinensis,books,"中国湿地博物馆. 西溪湿地鱼类识别手册; 浙江工商大学出版社: 浙江, 2018; pp 44–45."
s__Abbottina_rivularis,books,"中国湿地博物馆. 西溪湿地鱼类识别手册; 浙江工商大学出版社: 浙江, 2018; p 48."
s__Lefua_costata,books,"中国科学院鱼类研究所. 中国条鳅志; 科学出版社: 北京, 1989; pp 20–22."
s__Sinibotia_robusta,articles,"郑惠芳. 壮体沙鳅的生态学研究. 水利渔业 2003, 23 (2), 30–31."
s__Sinibrama_macrops,books,"浙江动物志编辑委员会编. 浙江动物志: 淡水鱼类; 浙江科学技术出版社: 浙江, 1991; p 67.?"
s__Chanodichthys_ilishaeformis,books,"浙江动物志编辑委员会编. 浙江动物志: 淡水鱼类; 浙江科学技术出版社: 浙江, 1991; p 61.?"
s__Schizothorax_kozlovi,articles,"张晓杰; 代应贵. 四川裂腹鱼摄食习性与资源保护. 水生态学杂志 2011, 32 (2), 110–114. DOI: 10.15928/j.1674-3075.2011.02.022."
s__Upeneus_japonicus,books,"张斌著,世界观赏鱼,河北科学技术出版社,2003年02月第1版"
s__Mugilogobius_myxodermus,articles,"岳海涛; 姜昊辰; 张方方; 等. 滇池粘皮鯔鰕虎鱼食物组成及摄食策略分析. 水生态学杂志 2018, 39 (4), 95–101. DOI: 10.15928/j.1674-3075.2018.04.013.?"
s__Tachysurus_nitidus,articles,"袁刚; 茹辉军; 刘学勤. 洞庭湖光泽黄颡鱼食性研究. 水生生物学报 2011, 35 (2), 270–275.?"
s__Cirrhinus_mrigala,articles,"宇红. 淡水养殖名特优新品种——麦瑞加拉鲮. 渔业致富指南 1998, (7), 28.?"
s__Liobagrus_nigricauda,articles,"杨骏,郭延蜀,鄢思利,等.嘉陵江中游黑尾(鱼央)生物学的初步研究[J].水产科学,2014,33(08):476-482.DOI:10.16378/j.cnki.1003-1111.2014.08.009."
s__Rhynchocypris_lagowskii,articles,"徐忠源. 拉氏(鱼岁)的生物学特性及养殖前景. 中国水产 2015, (2), 62–64.?"
s__Lagocephalus_spadiceus,articles,"徐浩; 黄亮亮; 王才广; 等. 北部湾棕斑兔头鲀时空分布及其与环境因子的关系. 应用生态学报 2025, 36 (1), 1–9."
s__Rhinogobio_cylindricus,articles,"熊星; 李英文; 田辉伍; 等. 长江上游圆筒吻鮈生长与食性. 生态学杂志 2013, 32 (4), 905–911. DOI: 10.13292/j.1000-4890.2013.0165.?"
s__Pseudohemiculter_dispar,articles,"肖诗斌. 珠江流域飘鱼、南方拟?野生群体遗传多样性分析. 硕士论文, 华南农业大学, 2020.?"
s__Decapterus_maruadsi,books,"魏建功. 中国常见海洋生物原色图典 鱼类[M]; 中国海洋大学出版社: 青岛, 2020; pp 50–51."
s__Scomber_japonicus,books,"魏建功. 中国常见海洋生物原色图典 鱼类[M]; 中国海洋大学出版社: 北京, 2020."
s__Sinibotia_superciliaris,articles,"王志刚, 徐勇斌, 朱金波, 贺文芳. 中华沙鳅的养殖保护及研究展望[J]. 科学养鱼, 2019, (3): 69–70."
s__Tachysurus_ussuriensis,articles,"王鹏, 赵春刚, 叶继丹, 等. 乌苏里拟鲿人工繁育技术及开发利用——乌苏里拟鲿仔幼鱼食性与生长的初步研究[J]. 水产学杂志, 2001, (02): 4–6."
s__Triplophysa_pappenheimi,articles,"孙舒扬. 黄河高原鳅的个体生物学研究. 大连海洋大学, 2024. DOI: 10.27821/d.cnki.gdlhy.2024.000668."
s__Oreochromis_niloticus,books,"沈俊宝; 张显良主编. 引进水产优良品种及养殖技术; 金盾出版社: 北京, 2002.09; pp 188-200."
s__Mylopharyngodon_piceus,books,"青鱼养殖技术介绍. 农村实用技术, 2013, (12), 34."
g__Acanthocyclops,articles,"乔一明. 桡足类优势种的摄食选择性及关键赤潮藻对其摄食行为影响研究. 山东大学, 2023. DOI: 10.27272/d.cnki.gshdu.2023.001150."
g__Cylindropsyllus,articles,"乔一明. 桡足类优势种的摄食选择性及关键赤潮藻对其摄食行为影响研究. 山东大学, 2023. DOI: 10.27272/d.cnki.gshdu.2023.001150."
g__Elaphoidella,articles,"乔一明. 桡足类优势种的摄食选择性及关键赤潮藻对其摄食行为影响研究. 山东大学, 2023. DOI: 10.27272/d.cnki.gshdu.2023.001150."
g__Mesocyclops,articles,"乔一明. 桡足类优势种的摄食选择性及关键赤潮藻对其摄食行为影响研究. 山东大学, 2023. DOI: 10.27272/d.cnki.gshdu.2023.001150."
g__Paracyclops,articles,"乔一明. 桡足类优势种的摄食选择性及关键赤潮藻对其摄食行为影响研究. 山东大学, 2023. DOI: 10.27272/d.cnki.gshdu.2023.001150."
g__Parathalestris,articles,"乔一明. 桡足类优势种的摄食选择性及关键赤潮藻对其摄食行为影响研究. 山东大学, 2023. DOI: 10.27272/d.cnki.gshdu.2023.001150."
g__Sapphirina,articles,"乔一明. 桡足类优势种的摄食选择性及关键赤潮藻对其摄食行为影响研究. 山东大学, 2023. DOI: 10.27272/d.cnki.gshdu.2023.001150."
g__Stellicola,articles,"乔一明. 桡足类优势种的摄食选择性及关键赤潮藻对其摄食行为影响研究. 山东大学, 2023. DOI: 10.27272/d.cnki.gshdu.2023.001150."
g__Stylicletodes,articles,"乔一明. 桡足类优势种的摄食选择性及关键赤潮藻对其摄食行为影响研究. 山东大学, 2023. DOI: 10.27272/d.cnki.gshdu.2023.001150."
g__Thermocyclops,articles,"乔一明. 桡足类优势种的摄食选择性及关键赤潮藻对其摄食行为影响研究. 山东大学, 2023. DOI: 10.27272/d.cnki.gshdu.2023.001150."
g__Cormocephalus,books,"南朝君编著. 食疗, 营养与烹调; 中国医药科技出版社: 北京, 2014.01; pp 1135."
g__Otostigmus,books,"南朝君编著. 食疗, 营养与烹调; 中国医药科技出版社: 北京, 2014.01; pp 1135."
g__Rhysida,books,"南朝君编著. 食疗, 营养与烹调; 中国医药科技出版社: 北京, 2014.01; pp 1135."
s__Setipinna_tenuifilis,articles,"刘威; 张天豪; 陈淦, 等. 浙江南部近海黄鲫的摄食习性及其与环境因子的关系. 应用生态学报, 2024, 35(11), 3174-3182. DOI: 10.13287/j.1001-9332.202411.030."
s__Scatophagus_argus,books,"刘静编; 魏建功总主编. 中国常见海洋生物原色图典 鱼类; 中国海洋大学出版社: 青岛, 2020.01; pp 142."
s__Larimichthys_polyactis,articles,"林龙山. 长江口近海小黄鱼食性及营养级分析. 海洋渔业, 2007, (01), 44-48."
s__Zacco_platypus,books,"辽宁省水利厅辽宁大伙房水库管理局编著. 大伙房水库水生动物植物图鉴; 辽宁科学技术出版社: 辽宁, 2012.09; pp 140."
s__Megalobrama_pellegrini,articles,"李文静. 厚颌鲂的个体生物学和种群生态研究. 硕士论文,"
s__Ochetobius_elongatus,books,"李土生. 土生说字 第24卷; 中央文献出版社: 北京, 2009; p 421.?"
s__Chanodichthys_mongolicus,articles,"李世华. 蒙古红鲌生物学特性及其养殖技术. 中国水产 2006, (10), 22–23.?"
s__Ammodytes_personatus,books,"李明德, 编著. 中国经济鱼类生态学; 天津科学技术出版社: 天津, 2012; p 118."
s__Schizothorax_sinensis,articles,"冷永智; 周祖清; 黄德祥. 中华裂腹鱼的生物学资料. 动物学杂志 1984, (06), 45–47.?"
s__Jinshaia_sinensis,articles,"贾砾. 长江宜宾段中华金沙鳅食性与生长研究. 硕士论文, 西南大学, 2013.?"
s__Cottus_poecilopus,articles,"霍堂斌; 宋雪松; 王振洋; 等. 杂色杜父鱼生物学初步研究. 水产学杂志 2015, 28 (03), 16–20.?"
s__Tachysurus_vachellii,books,"湖北省水产局, 编著. 水产养殖技术手册; 湖北科学技术出版社: 武汉, 2018; p 134.?"
s__Ctenopharyngodon_idella,books,"胡烨, 编著. 鱼类; 吉林出版集团有限责任公司: 长春, 2013; p 54.?"
s__Konosirus_punctatus,articles,"郭学武; 唐启升; 孙耀; 等. 斑鰶的摄食与生态转换效率. 海洋水产研究 1999, (02), 17–25.?"
s__Onychostoma_macrolepis,articles,"苟妮娜; 王开锋; 边坤. 秦巴山区多鳞白甲鱼食性的初步研究. 西北农业学报 2020, 29 (08), 1141–1147.?"
s__Triplophysa_dalaica,articles,"巩政; 王梓璇; 张艺弛; 等. 达里湖高原鳅不同地理群体遗传多样性与遗传分化. 水生态学杂志 2024, 45 (4), 92–98.?"
s__Lates_calcarifer,articles,"付正祎. 饲料中非蛋白能量源的增加对尖吻鲈幼鱼生长、代谢及免疫的影响. 硕士论文, 海南大学, 2020.?"
s__Schizothorax_oconnori,articles,"方静; 周毅. 齐口裂腹鱼和重口裂腹鱼消化道形态和组织结构的观察. 四川农业大学学报 1995, (01), 101–106.?"
s__Schizothorax_prenanti,books,"董崇智; 等, 编著. 中国淡水冷水性鱼类; 2001; pp 116–118.?"
s__Triplophysa_stenura,articles,"邓华堂; 岳兴建; 陈大庆; 等. 怒江细尾高原鳅生长特征与食性. 淡水渔业 2010, 40 (1), 26–33.?"
s__Hemibagrus_macropterus,books,"褚新洛; 郑葆珊; 戴定远; 等. 中国动物志 硬骨鱼纲 鲇形目; 科学出版社: 北京, 1999; p 230.?"
s__Liparis_tanakae,articles,"陈云龙; 单秀娟; 周志鹏; 等. 黄海细纹狮子鱼种群特征的年际变化. 生态学报 2013, 33 (19), 6227–6235.?"
s__Clupanodon_thrissa,books,"陈明茹; 杨圣云, 编著. 台湾海峡及其邻近海域鱼类图鉴; 中国科学技术出版社: 北京, 2013; p 40.?"
