"","prey","predator"
"1","g__Chlamydomonas","g__Chironomus"
"2","g__Pandorina","g__Chironomus"
"3","g__Pedinomonas","g__Chironomus"
"4","g__Chlorella","g__Chironomus"
"5","g__Micractinium","g__Chironomus"
"6","g__Nannochloris","g__Chironomus"
"7","g__Choricystis","g__Chironomus"
"8","g__Nitzschia","g__Chironomus"
"9","g__Pinnularia","g__Chironomus"
"10","g__Sellaphora","g__Chironomus"
"11","g__Melosira","g__Chironomus"
"12","g__Rhizosolenia","g__Chironomus"
"13","g__Cyclostephanos","g__Chironomus"
"14","g__Cyclotella","g__Chironomus"
"15","g__Stephanodiscus","g__Chironomus"
"16","g__Skeletonema","g__Chironomus"
"17","g__Thalassiosira","g__Chironomus"
"18","g__Lithodesmium","g__Chironomus"
"19","g__Chrysochromulina","g__Chironomus"
"20","g__Neoporphyra","g__Chironomus"
"21","g__Bonnemaisonia","g__Chironomus"
"22","g__Pseudophycodrys","g__Chironomus"
"23","g__Amphiroa","g__Chironomus"
"24","g__Rhodophyllis","g__Chironomus"
"25","g__Pedospumella","g__Chironomus"
"26","g__Dinobryon","g__Chironomus"
"27","g__Poteriospumella","g__Chironomus"
"28","g__Paraphysomonas","g__Chironomus"
"29","g__Apoikiospumella","g__Chironomus"
"30","g__Cryptomonas","g__Chironomus"
"31","g__Pseudopedinella","g__Chironomus"
"32","g__Nannochloropsis","g__Chironomus"
"33","g__Aureococcus","g__Chironomus"
"34","g__Dictyopteris","g__Chironomus"
"35","g__Dictyota","g__Chironomus"
"36","g__Cladosiphon","g__Chironomus"
"37","g__Laminarionema","g__Chironomus"
"38","g__Mesogloia","g__Chironomus"
"39","g__Punctaria","g__Chironomus"
"40","g__Colpomenia","g__Chironomus"
"41","g__Planosiphon","g__Chironomus"
"42","g__Chattonella","g__Chironomus"
"43","g__Haramonas","g__Chironomus"
"44","g__Poterioochromonas","g__Chironomus"
"45","g__Acrispumella","g__Chironomus"
"46","g__Synura","g__Chironomus"
"47","g__norank_o__Chloroplast","g__Chironomus"
"48","g__Planktothrix_NIVA-CYA_15","g__Chironomus"
"49","g__Cyanobium_PCC-6307","g__Chironomus"
"50","g__Chlamydomonas","g__Cricotopus"
"51","g__Pandorina","g__Cricotopus"
"52","g__Pedinomonas","g__Cricotopus"
"53","g__Chlorella","g__Cricotopus"
"54","g__Micractinium","g__Cricotopus"
"55","g__Nannochloris","g__Cricotopus"
"56","g__Choricystis","g__Cricotopus"
"57","g__Nitzschia","g__Cricotopus"
"58","g__Pinnularia","g__Cricotopus"
"59","g__Sellaphora","g__Cricotopus"
"60","g__Melosira","g__Cricotopus"
"61","g__Rhizosolenia","g__Cricotopus"
"62","g__Cyclostephanos","g__Cricotopus"
"63","g__Cyclotella","g__Cricotopus"
"64","g__Stephanodiscus","g__Cricotopus"
"65","g__Skeletonema","g__Cricotopus"
"66","g__Thalassiosira","g__Cricotopus"
"67","g__Lithodesmium","g__Cricotopus"
"68","g__Chrysochromulina","g__Cricotopus"
"69","g__Neoporphyra","g__Cricotopus"
"70","g__Bonnemaisonia","g__Cricotopus"
"71","g__Pseudophycodrys","g__Cricotopus"
"72","g__Amphiroa","g__Cricotopus"
"73","g__Rhodophyllis","g__Cricotopus"
"74","g__Pedospumella","g__Cricotopus"
"75","g__Dinobryon","g__Cricotopus"
"76","g__Poteriospumella","g__Cricotopus"
"77","g__Paraphysomonas","g__Cricotopus"
"78","g__Apoikiospumella","g__Cricotopus"
"79","g__Cryptomonas","g__Cricotopus"
"80","g__Pseudopedinella","g__Cricotopus"
"81","g__Nannochloropsis","g__Cricotopus"
"82","g__Aureococcus","g__Cricotopus"
"83","g__Dictyopteris","g__Cricotopus"
"84","g__Dictyota","g__Cricotopus"
"85","g__Cladosiphon","g__Cricotopus"
"86","g__Laminarionema","g__Cricotopus"
"87","g__Mesogloia","g__Cricotopus"
"88","g__Punctaria","g__Cricotopus"
"89","g__Colpomenia","g__Cricotopus"
"90","g__Planosiphon","g__Cricotopus"
"91","g__Chattonella","g__Cricotopus"
"92","g__Haramonas","g__Cricotopus"
"93","g__Poterioochromonas","g__Cricotopus"
"94","g__Acrispumella","g__Cricotopus"
"95","g__Synura","g__Cricotopus"
"96","g__norank_o__Chloroplast","g__Cricotopus"
"97","g__Planktothrix_NIVA-CYA_15","g__Cricotopus"
"98","g__Cyanobium_PCC-6307","g__Cricotopus"
"99","g__Chlamydomonas","g__Orthocladius"
"100","g__Pandorina","g__Orthocladius"
"101","g__Pedinomonas","g__Orthocladius"
"102","g__Chlorella","g__Orthocladius"
"103","g__Micractinium","g__Orthocladius"
"104","g__Nannochloris","g__Orthocladius"
"105","g__Choricystis","g__Orthocladius"
"106","g__Nitzschia","g__Orthocladius"
"107","g__Pinnularia","g__Orthocladius"
"108","g__Sellaphora","g__Orthocladius"
"109","g__Melosira","g__Orthocladius"
"110","g__Rhizosolenia","g__Orthocladius"
"111","g__Cyclostephanos","g__Orthocladius"
"112","g__Cyclotella","g__Orthocladius"
"113","g__Stephanodiscus","g__Orthocladius"
"114","g__Skeletonema","g__Orthocladius"
"115","g__Thalassiosira","g__Orthocladius"
"116","g__Lithodesmium","g__Orthocladius"
"117","g__Chrysochromulina","g__Orthocladius"
"118","g__Neoporphyra","g__Orthocladius"
"119","g__Bonnemaisonia","g__Orthocladius"
"120","g__Pseudophycodrys","g__Orthocladius"
"121","g__Amphiroa","g__Orthocladius"
"122","g__Rhodophyllis","g__Orthocladius"
"123","g__Pedospumella","g__Orthocladius"
"124","g__Dinobryon","g__Orthocladius"
"125","g__Poteriospumella","g__Orthocladius"
"126","g__Paraphysomonas","g__Orthocladius"
"127","g__Apoikiospumella","g__Orthocladius"
"128","g__Cryptomonas","g__Orthocladius"
"129","g__Pseudopedinella","g__Orthocladius"
"130","g__Nannochloropsis","g__Orthocladius"
"131","g__Aureococcus","g__Orthocladius"
"132","g__Dictyopteris","g__Orthocladius"
"133","g__Dictyota","g__Orthocladius"
"134","g__Cladosiphon","g__Orthocladius"
"135","g__Laminarionema","g__Orthocladius"
"136","g__Mesogloia","g__Orthocladius"
"137","g__Punctaria","g__Orthocladius"
"138","g__Colpomenia","g__Orthocladius"
"139","g__Planosiphon","g__Orthocladius"
"140","g__Chattonella","g__Orthocladius"
"141","g__Haramonas","g__Orthocladius"
"142","g__Poterioochromonas","g__Orthocladius"
"143","g__Acrispumella","g__Orthocladius"
"144","g__Synura","g__Orthocladius"
"145","g__norank_o__Chloroplast","g__Orthocladius"
"146","g__Planktothrix_NIVA-CYA_15","g__Orthocladius"
"147","g__Cyanobium_PCC-6307","g__Orthocladius"
"148","g__Chlamydomonas","g__Paraborniella"
"149","g__Pandorina","g__Paraborniella"
"150","g__Pedinomonas","g__Paraborniella"
"151","g__Chlorella","g__Paraborniella"
"152","g__Micractinium","g__Paraborniella"
"153","g__Nannochloris","g__Paraborniella"
"154","g__Choricystis","g__Paraborniella"
"155","g__Nitzschia","g__Paraborniella"
"156","g__Pinnularia","g__Paraborniella"
"157","g__Sellaphora","g__Paraborniella"
"158","g__Melosira","g__Paraborniella"
"159","g__Rhizosolenia","g__Paraborniella"
"160","g__Cyclostephanos","g__Paraborniella"
"161","g__Cyclotella","g__Paraborniella"
"162","g__Stephanodiscus","g__Paraborniella"
"163","g__Skeletonema","g__Paraborniella"
"164","g__Thalassiosira","g__Paraborniella"
"165","g__Lithodesmium","g__Paraborniella"
"166","g__Chrysochromulina","g__Paraborniella"
"167","g__Neoporphyra","g__Paraborniella"
"168","g__Bonnemaisonia","g__Paraborniella"
