"","name","group"
"1","g__Patrus","insect"
"2","g__Ochthebius","insect"
"3","g__Confossa","insect"
"4","g__Atrichopogon","insect"
"5","g__Culicoides","insect"
"6","g__Forcipomyia","insect"
"7","g__Nilobezzia","insect"
"8","g__Chironomus","insect"
"9","g__Cricotopus","insect"
"10","g__Orthocladius","insect"
"11","g__Paraborniella","insect"
"12","g__Parametriocnemus","insect"
"13","g__Paratanytarsus","insect"
"14","g__Polypedilum","insect"
"15","g__Propsilocerus","insect"
"16","g__Tanypus","insect"
"17","g__Tanytarsus","insect"
"18","g__Anopheles","insect"
"19","g__Malaya","insect"
"20","g__Hercostomus","insect"
"21","g__Dicranomyia","insect"
"22","g__Symplecta","insect"
"23","g__Tetanocera","insect"
"24","g__Simulium","insect"
"25","g__Tipula","insect"
"26","g__Acentrella","insect"
"27","g__Cloeon","insect"
"28","g__Ephemerella","insect"
"29","g__Epeorus","insect"
"30","g__Heterosmylus","insect"
"31","g__Osmylus","insect"
"32","g__Macromia","insect"
"33","g__Elattoneura","insect"
"34","g__Agapetus","insect"
"35","g__Ceratopsyche","insect"
"36","g__Smicridea","insect"
"37","g__Hellyethira","insect"
"38","g__Paduniella","insect"
"39","s__Naso_hexacanthus","fish"
"40","s__Acipenser_baerii","fish"
"41","s__Channa_gachua","fish"
"42","s__Coptodon_zillii","fish"
"43","s__Oreochromis_mossambicus","fish"
"44","s__Oreochromis_niloticus","fish"
"45","s__Sardinella_zunasi","fish"
"46","s__Coilia_nasus","fish"
"47","s__Engraulis_japonicus","fish"
"48","s__Rhodeus_sinensis","fish"
"49","s__Jinshaia_sinensis","fish"
"50","s__Leptobotia_microphthalma","fish"
"51","s__Carassius_carassius","fish"
"52","s__Carassius_gibelio","fish"
"53","s__Onychostoma_macrolepis","fish"
"54","s__Spinibarbus_sinensis","fish"
"55","s__Cyprinus_carpio","fish"
"56","s__Abbottina_obtusirostris","fish"
"57","s__Gnathopogon_herzensteini","fish"
"58","s__Rhinogobio_cylindricus","fish"
"59","s__Rhinogobio_typus","fish"
"60","s__Saurogobio_dabryi","fish"
"61","s__Schistura_fasciolata","fish"
"62","s__Triplophysa_pappenheimi","fish"
"63","s__Chanodichthys_mongolicus","fish"
"64","s__Ctenopharyngodon_idella","fish"
"65","s__Elopichthys_bambusa","fish"
"66","s__Hemiculter_eigenmanni","fish"
"67","s__Hypophthalmichthys_molitrix","fish"
"68","s__Hypophthalmichthys_nobilis","fish"
"69","s__Megalobrama_amblycephala","fish"
"70","s__Megalobrama_skolkovii","fish"
"71","s__Megalobrama_terminalis","fish"
"72","s__Opsariichthys_uncirostris","fish"
"73","s__Pseudobrama_simoni","fish"
"74","s__Pseudohemiculter_dispar","fish"
"75","s__Squaliobarbus_curriculus","fish"
"76","s__Gambusia_affinis","fish"
"77","s__Rhinogobius_cliffordpopei","fish"
"78","s__Rhinogobius_similis","fish"
"79","s__Lateolabrax_maculatus","fish"
"80","s__Liobagrus_marginatus","fish"
"81","s__Tachysurus_eupogon","fish"
"82","s__Tachysurus_nitidus","fish"
"83","s__Tachysurus_vachellii","fish"
"84","s__Silurus_asotus","fish"
"85","s__Lagocephalus_spadiceus","fish"
"86","s__Ambassis_gymnocephalus","fish"
"87","s__Scatophagus_argus","fish"
"88","s__Larimichthys_polyactis","fish"
"89","s__Nibea_albiflora","fish"
"90","g__Chlamydomonas","algae"
"91","g__Pandorina","algae"
"92","g__Pedinomonas","algae"
"93","g__Chlorella","algae"
"94","g__Micractinium","algae"
"95","g__Nannochloris","algae"
"96","g__Choricystis","algae"
"97","g__Nitzschia","algae"
"98","g__Pinnularia","algae"
"99","g__Sellaphora","algae"
"100","g__Melosira","algae"
"101","g__Rhizosolenia","algae"
"102","g__Cyclostephanos","algae"
"103","g__Cyclotella","algae"
"104","g__Stephanodiscus","algae"
"105","g__Skeletonema","algae"
"106","g__Thalassiosira","algae"
"107","g__Lithodesmium","algae"
"108","g__Chrysochromulina","algae"
"109","g__Neoporphyra","algae"
"110","g__Bonnemaisonia","algae"
"111","g__Pseudophycodrys","algae"
"112","g__Amphiroa","algae"
"113","g__Rhodophyllis","algae"
"114","g__Pedospumella","algae"
"115","g__Dinobryon","algae"
"116","g__Poteriospumella","algae"
"117","g__Paraphysomonas","algae"
"118","g__Apoikiospumella","algae"
"119","g__Cryptomonas","algae"
"120","g__Pseudopedinella","algae"
"121","g__Nannochloropsis","algae"
"122","g__Aureococcus","algae"
"123","g__Dictyopteris","algae"
"124","g__Dictyota","algae"
"125","g__Cladosiphon","algae"
"126","g__Laminarionema","algae"
"127","g__Mesogloia","algae"
"128","g__Punctaria","algae"
"129","g__Colpomenia","algae"
"130","g__Planosiphon","algae"
"131","g__Chattonella","algae"
"132","g__Haramonas","algae"
"133","g__Poterioochromonas","algae"
"134","g__Acrispumella","algae"
"135","g__Synura","algae"
"136","g__norank_o__Chloroplast","algae"
"137","g__Planktothrix_NIVA-CYA_15","algae"
"138","g__Cyanobium_PCC-6307","algae"
"139","g__Calcinus","invertebrate"
"140","g__Parasesarma","invertebrate"
"141","g__Cloridopsis","invertebrate"
"142","g__Erythropodium","invertebrate"
"143","g__Bursaphelenchus","invertebrate"
"144","g__Schyzocotyle","invertebrate"
"145","g__Scopalina","invertebrate"
"146","g__Ulosa","invertebrate"
"147","g__Desmacella","invertebrate"
"148","g__Clathria","invertebrate"
"149","g__Pseudodiaptomus","zooplankton"
"150","g__Mesocyclops","zooplankton"
"151","g__Thermocyclops","zooplankton"
"152","g__Sacculina","zooplankton"
"153","g__Zanclea","zooplankton"
"154","g__Aglaophenia","zooplankton"
"155","g__Lytocarpia","zooplankton"
"156","g__Lovenella","zooplankton"
"157","g__Laodicea","zooplankton"
"158","g__Nanomia","zooplankton"
"159","g__Forskalia","zooplankton"
"160","g__Limnoperna","zooplankton"
"161","g__Retusa","zooplankton"
"162","g__Sulcospira","zooplankton"
"163","g__Elysia","zooplankton"
"164","g__Biomphalaria","zooplankton"
"165","g__Choanomphalus","zooplankton"
"166","g__Filinia","zooplankton"
